,Abbrev,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2005-2015
New York,NY,"119,025","123,418","119,963","119,405","119,657","117,031","111,908","107,747","106,409","104,254","100,996",-15%
North Carolina,NC,"111,626","110,419","111,446","109,678","106,581","104,228","100,479","96,070","94,442","90,918","85,634",-23%
North Dakota,ND,3960,4303,4468,4233,4173,4290,4516,4764,4898,5585,6303,59%
Ohio,OH,"239,036","243,956","254,898","260,962","254,949","251,779","253,497","256,853","250,630","238,915","243,710",2%
Oklahoma,OK,"28,865","27,415",-,"27,940","27,067","25,657","24,503","25,506",-,"28,568","31,281",8%
Oregon,OR,"44,853","45,250","43,732","41,888","40,724","39,846","38,701","37,128","37,891","37,923",,-100%
Pennsylvania,PA,"167,520","172,184","176,987","186,973","192,231","179,297","177,851","177,777","171,970","176,737","183,868",10%
Rhode Island,RI,25613,26017,26137,26754,25924,25164,24513,23818,22988,23595,23920,-7%
South Carolina,SC,"39,349","38,353","42,721","41,254","33,876","33,185","33,674","34,945","35,825","35,096","33,843",-14%
South Dakota,SD,"5,308","5,661","5,870","6,146","6,602","6,540","6,819","7,200","6,952","6,803","7,118",34%
Tennessee,TN,"49,302","52,558","56,179","58,109","59,558","59,946","62,568","64,430","64,216","62,950","62,325",26%
Texas,TX,"430,312","431,967","434,309","427,080","426,331","418,678","408,472","405,473","399,655","388,101","378,937",-12%
Utah,UT,"10,079","10,426","10,829","11,103","11,528","11,607","11,909","11,394","11,203","11,983","12,181",21%
Vermont,VT,"8,934",7631,7059,"6,940","6,833","6,304","6,072","5,953","5,791","5,662","5,170",-42%
Virginia,VA,"45,589","48,144","51,954","53,614","55,645","56,654","55,685","52,956","54,020","54,966","55,472",22%
Washington,WA,"104,293","108,076","118,885","113,134","96,369","97,864","87,825","88,339","95,217","94,112","93,535",-10%
West Virginia,WV,"7,437","7,472","7,677","8,064","8,175","8,377","8,306","8,276","8,465","7,174","7,008",-6%
Wisconsin,WI,"55,175","55,806","53,230","50,418","47,421","46,163","45,965","46,328","46,758","46,212","46,144",-16%
Wyoming,WY,4826,5225,5358,5438,4668,5319,5429,5162,5207,5196,5113,6%
